Resumo Geral do Mês/Período;;;;;;;;;;;;;;;;;;;;;;;;Pag.: 1
Empresa:;;BRAGA VEICULOS LTDA - CNPJ: 04.011.946/0001-04;;;;;;;;;;;;;;;;;;;;;;Fortes Pessoal
Mês/Ano: 04/2026 a 05/2026;;;;;;;;;;;;;;;;;;;;;;;;
Folha de Pagamento;;;;;;;;;;;;;;;;;;;;;;;;
Proventos;;;;;;;;Referência;;;Valor;;Descontos;;;;;;;;Referência;Valor;;
004  Pró-labore;;;;;;;;;;;4.518,40;;127  Consignado Crédito Trabalhador;;;;;;;;;28.706,34;;
010  Salário-Família;;;;;;;;;;;2.055,45;;302  Assistência Médica Amil;;;;;;;;;28.050,03;;
011  Salário-Base;;;;;;;;;;;417.110,08;;310  INSS;;;;;;;;;94.767,93;;
030  Comissões;;;;;;;;;;;238.726,70;;311  IRRF;;;;;;;;;72.448,66;;
049  Descanso Semanal Remunerado;;;;;;;890 dia(s);;;;138.602,10;;320  Vale-Transporte;;;;;;;;;10.324,79;;
054  Comissão acessorios;;;;;;;121,6;;;;775,60;;321  Falta;;;;;67 dia(s);;;;4.004,13;;
055  Comissão s/ Serv e mao de obra;;;;;;;;;;;91.764,78;;340  Pensão Alimentícia - Mensal;;;;;;;;;4.208,14;;
056  Comissão s/ peças;;;;;;;;;;;6.167,27;;349  DSR Desconto;;;;;;;;;4.586,83;;
057  Comissão SDR;;;;;;;;;;;9.120,00;;390  Líquido Negativo Compensação;;;;;;;;;53,96;;
058  Premio SDR;;;;;;;;;;;2.280,00;;909  Assistencia Odontologica;;;;;;;;;1.618,80;;
059  Premio Campanha;;;;;;;;;;;5.350,00;;947  Des. Refeição;;;;;;;;;2.766,63;;
069  Premio Empenho;;;;;;;;;;;1.400,00;;962  Atrasos;;;;;1346h26min;;;;10.780,62;;
071  Premio vendas digitais;;;;;;;;;;;4.500,00;;963  Consignado Crédito Trabalhador;;;;;;;;;14.085,57;;
074  Premio Agregados;;;;;;;;;;;31.890,00;;964  Consignado Crédito Trabalhador;;;;;;;;;5.134,45;;
075  Quebra de Caixa;;;;;;;;;;;742,50;;965  Consignado Crédito Trabalhador;;;;;;;;;1.671,54;;
076  Premio GMAC;;;;;;;;;;;600,00;;966  Consignado Crédito Trabalhador;;;;;;;;;2.566,71;;
077  Premio Captacao;;;;;;;;;;;8.900,00;;967  Consignado Crédito Trabalhador;;;;;;;;;533,60;;
078  Reembolso Assist. Médica Amil;;;;;;;;;;;5.586,22;;968  Consignado Crédito Trabalhador;;;;;;;;;1.036,08;;
090  Líquido Negativo;;;;;;;;;;;277,67;;969  Consignado Crédito Trabalhador;;;;;;;;;103,68;;
099  Complemento de Folha;;;;;;;;;;;1.711,42;;970  Consignado Crédito Trabalhador;;;;;;;;;72,22;;
100  Provisão Cred. Trab.- Provento;;;;;;;;;;;2.380,13;;985  Descontos por danos;;;;;;;;;1.082,22;;
614  Comissão Complementar;;;;;;;;;;;309,91;;986  Emprestimo;;;;;;;;;4.319,44;;
907  Reembolso de Vale Transporte;;;;;;;;;;;52,80;;987  Debito de Cracha;;;;;;;;;28,69;;
956  Premio Meta - CCT;;;;;;;;;;;134.040,53;;989  Des. Bonificação Mes Anterior;;;;;;;;;295,00;;
975  Bonificação;;;;;;;;;;;15.887,25;;999  Desc.Premio Meta CCT - Mes ant;;;;;;;;;5.161,27;;
978  Comissão s/ pcs e mao de obra;;;;;;;;;;;3.869,88;;;;;;;;;;;;;
979  Comissão F&I;;;;;;;;;;;92.208,67;;;;;;;;;;;;;
980  Comissão s/ vendas;;;;;;;;;;;110.426,63;;;;;;;;;;;;;
981  Comissão Venda Leadss;;;;;;;;;;;5.760,00;;;;;;;;;;;;;
988  Bonificação Mes Anterior;;;;;;;;;;;295,00;;;;;;;;;;;;;
991  Premio Captacao Semi Novos;;;;;;;;;;;1.400,00;;;;;;;;;;;;;
993  Premio Acessorios - CCT;;;;;;;;;;;17.833,86;;;;;;;;;;;;;
996  Dif. do Piso da Categoria;;;;;;;;;;;6.257,97;;;;;;;;;;;;;
997  Premio F&I;;;;;;;;;;;22.494,13;;;;;;;;;;;;;
998  Premio Meta CCT - Mes anterior;;;;;;;;;;;4.688,65;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;298.407,33;;
;;;;;;;;;;;;;;;;;;;;;;1.091.576,27;;
BC - FGTS(Afastados): 0,00;;;;;;;;;;;;;;;;;;;;;;;;
BC - FGTS: 1.119.964,29;;;;;FGTS Contrib.: 0,00;;;;;;FGTS: 89.269,73;;;;;;;;;BC - IRRF: 1.039.796,52;;;;
;;;;;;;;;;;;;;;;BC - INSS: 1.124.882,58;;;;;;;;
Férias;;;;;;;;;;;;;;;;;;;;;;;;
Proventos;;;;;;;;Referência;;;Valor;;Descontos;;;;;;;;Referência;Valor;;
110  Remuneração de Férias;;;;;;;;;;;21.505,73;;301  Provisão Cred. Trab.- Desconto;;;;;;;;;2.380,13;;
111  1/3 de Férias;;;;;;;;;;;7.168,59;;310  INSS;;;;;;;;;2.392,12;;
151  Adiantamento de 13º Salário;;;;;;;;;;;866,25;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;4.772,25;;
;;;;;;;;;;;;;;;;;;;;;;24.768,32;;
Demonstrativo de INSS E FGTS de Férias;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;INSS;;;;;;;;;FGTS;;;;;
;Competência;;Recolhimento;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Base de Cálculo;;;;;Valor;;;Base de Cálculo;;;;Valor;;;Contrib. Social;
04/2026;;;;;;;;11.530,51;;;;;973,93;;;11.530,51;;;;922,40;;;;
;;;;04/2026;;;;;;;;;;;;;;;;;;;;
04/2026;;;;;;;;782,30;;;;;58,67;;;782,30;;;;62,58;;;;
;;;;05/2026;;;;;;;;;;;;;;;;;;;;
05/2026;;;;;;;;16.361,51;;;;;1.359,52;;;16.361,51;;;;1.308,88;;;;
;;;;05/2026;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;Continua...
Resumo Geral do Mês/Período;;;;;;;;;;;;;;;;;;;;;;;;Pag.: 2
Empresa:;;BRAGA VEICULOS LTDA - CNPJ: 04.011.946/0001-04;;;;;;;;;;;;;;;;;;;;;;Fortes Pessoal
Mês/Ano: 04/2026 a 05/2026;;;;;;;;;;;;;;;;;;;;;;;;
Proventos;;;;;;;;Referência;;;Valor;;Descontos;;;;;;;;Referência;Valor;;
;;;;;;;;;;;;;;;;;;;;;;0,00;;
;;;;;;;;;;;;;;;;;;;;;;0,00;;
;;;;;;;;;;;;;;;;;;;;;;;;
